team,team_key,external_overall_primary_source,external_overall_primary_40_99,external_overall_consensus_40_99,fifa_rank,fifa_points,fifa_overall_40_99,reference_date_fifa,elo_external_rank,elo_external_rating,elo_external_overall_40_99,reference_date_world_football_elo
Brunei Darussalam,brunei darussalam,fifa,44.77619047619048,44.77619047619048,194,857.73,44.77619047619048,2026-06-11,NA,NA,NA,NA
São Tomé and Príncipe,sao tome and principe,fifa,44.49523809523809,49.92737111373475,195,855.44,44.49523809523809,2026-06-11,181,1035,55.35950413223141,2026-06-15
Djibouti,djibouti,fifa,44.214285714285715,48.08028335301063,196,853.58,44.214285714285715,2026-06-11,195,940,51.946280991735534,2026-06-15
Cayman Islands,cayman islands,fifa,43.93333333333333,46.11129476584021,197,850.06,43.93333333333333,2026-06-11,210,800,48.289256198347104,2026-06-15
Pakistan,pakistan,fifa,43.65238095238095,47.555529319165686,198,840.28,43.65238095238095,2026-06-11,197,909,51.45867768595041,2026-06-15
Somalia,somalia,fifa,43.371428571428574,48.51216056670602,199,839.17,43.371428571428574,2026-06-11,188,979,53.65289256198347,2026-06-15
Tonga,tonga,fifa,43.09047619047619,42.1547422274695,200,835.64,43.09047619047619,2026-06-11,239,520,41.21900826446281,2026-06-15
Timor-Leste,timor leste,fifa,42.80952380952381,42.80952380952381,201,831,42.80952380952381,2026-06-11,NA,NA,NA,NA
Gibraltar,gibraltar,fifa,42.528571428571425,48.70023612750885,202,820.26,42.528571428571425,2026-06-11,183,1011,54.87190082644628,2026-06-15
Guam,guam,fifa,42.24761904761905,44.04942935852027,203,819.54,42.24761904761905,2026-06-11,220,706,45.85123966942149,2026-06-15
Seychelles,seychelles,fifa,41.96666666666667,45.85936639118457,204,804.16,41.96666666666667,2026-06-11,204,853,49.752066115702476,2026-06-15
Turks and Caicos Islands,turks and caicos islands,fifa,41.68571428571428,43.0370720188902,205,803.98,41.68571428571428,2026-06-11,226,657,44.388429752066116,2026-06-15
Liechtenstein,liechtenstein,fifa,41.404761904761905,45.94411648957103,206,797.7,41.404761904761905,2026-06-11,200,895,50.48347107438016,2026-06-15
Bahamas,bahamas,fifa,41.12380952380953,42.999921290830386,207,786.82,41.12380952380953,2026-06-11,224,685,44.87603305785124,2026-06-15
US Virgin Islands,us virgin islands,fifa,40.84285714285714,42.249940968122786,208,779.76,40.84285714285714,2026-06-11,229,628,43.65702479338843,2026-06-15
British Virgin Islands,british virgin islands,fifa,40.56190476190476,44.059878000787094,209,777.41,40.56190476190476,2026-06-11,213,743,47.55785123966942,2026-06-15
Anguilla,anguilla,fifa,40.28095238095238,42.212790240062965,210,760.25,40.28095238095238,2026-06-11,227,646,44.14462809917355,2026-06-15
San Marino,san marino,fifa,40,44.632231404958674,211,721.2,40,2026-06-11,206,825,49.264462809917354,2026-06-15
Ireland,ireland,fifa,NA,87.54132231404958,NA,NA,NA,NA,48,1699,87.54132231404958,2026-06-15
Northern Cyprus,northern cyprus,fifa,NA,77.05785123966942,NA,NA,NA,NA,91,1442,77.05785123966942,2026-06-15
China,china,fifa,NA,75.8388429752066,NA,NA,NA,NA,95,1424,75.8388429752066,2026-06-15
Kurdistan,kurdistan,fifa,NA,75.8388429752066,NA,NA,NA,NA,95,1424,75.8388429752066,2026-06-15
Gambia,gambia,fifa,NA,75.35123966942149,NA,NA,NA,NA,98,1419,75.35123966942149,2026-06-15
North Korea,north korea,fifa,NA,72.42561983471074,NA,NA,NA,NA,110,1375,72.42561983471074,2026-06-15
Reunion,reunion,fifa,NA,69.98760330578511,NA,NA,NA,NA,120,1345,69.98760330578511,2026-06-15
Guadeloupe,guadeloupe,fifa,NA,69.01239669421489,NA,NA,NA,NA,124,1338,69.01239669421489,2026-06-15
Zanzibar,zanzibar,fifa,NA,67.5495867768595,NA,NA,NA,NA,130,1320,67.5495867768595,2026-06-15
Martinique,martinique,fifa,NA,66.81818181818181,NA,NA,NA,NA,133,1312,66.81818181818181,2026-06-15
Kyrgyzstan,kyrgyzstan,fifa,NA,66.3305785123967,NA,NA,NA,NA,136,1295,66.3305785123967,2026-06-15
French Guiana,french guiana,fifa,NA,61.94214876033058,NA,NA,NA,NA,154,1223,61.94214876033058,2026-06-15
Mayotte,mayotte,fifa,NA,61.69834710743802,NA,NA,NA,NA,155,1216,61.69834710743802,2026-06-15
Saint Vincent and the Grenadines,saint vincent and the grenadines,fifa,NA,59.50413223140496,NA,NA,NA,NA,164,1141,59.50413223140496,2026-06-15
Hong Kong,hong kong,fifa,NA,57.3099173553719,NA,NA,NA,NA,173,1101,57.3099173553719,2026-06-15
Saint Martin,saint martin,fifa,NA,55.603305785123965,NA,NA,NA,NA,180,1042,55.603305785123965,2026-06-15
Saint Kitts and Nevis,saint kitts and nevis,fifa,NA,55.11570247933884,NA,NA,NA,NA,182,1029,55.11570247933884,2026-06-15
Somaliland,somaliland,fifa,NA,54.62809917355372,NA,NA,NA,NA,184,1005,54.62809917355372,2026-06-15
Saint Lucia,saint lucia,fifa,NA,54.38429752066116,NA,NA,NA,NA,185,1003,54.38429752066116,2026-06-15
Western Sahara,western sahara,fifa,NA,54.14049586776859,NA,NA,NA,NA,186,996,54.14049586776859,2026-06-15
Sint Maarten,sint maarten,fifa,NA,53.16528925619835,NA,NA,NA,NA,190,975,53.16528925619835,2026-06-15
Greenland,greenland,fifa,NA,52.43388429752066,NA,NA,NA,NA,193,945,52.43388429752066,2026-06-15
Monaco,monaco,fifa,NA,51.21487603305785,NA,NA,NA,NA,198,903,51.21487603305785,2026-06-15
Taiwan,taiwan,fifa,NA,49.02066115702479,NA,NA,NA,NA,207,822,49.02066115702479,2026-06-15
Bonaire,bonaire,fifa,NA,48.77685950413223,NA,NA,NA,NA,208,817,48.77685950413223,2026-06-15
Chagos Islands,chagos islands,fifa,NA,48.04545454545455,NA,NA,NA,NA,211,782,48.04545454545455,2026-06-15
Tuvalu,tuvalu,fifa,NA,47.80165289256198,NA,NA,NA,NA,212,756,47.80165289256198,2026-06-15
Sint Eustatius,sint eustatius,fifa,NA,47.31404958677686,NA,NA,NA,NA,214,737,47.31404958677686,2026-06-15
East Timor,east timor,fifa,NA,46.82644628099173,NA,NA,NA,NA,215,734,46.82644628099173,2026-06-15
Saint Barthelemy,saint barthelemy,fifa,NA,46.095041322314046,NA,NA,NA,NA,219,725,46.095041322314046,2026-06-15
Wallis and Futuna,wallis and futuna,fifa,NA,45.607438016528924,NA,NA,NA,NA,221,699,45.607438016528924,2026-06-15
Vatican,vatican,fifa,NA,45.36363636363637,NA,NA,NA,NA,222,692,45.36363636363637,2026-06-15
Saba,saba,fifa,NA,45.1198347107438,NA,NA,NA,NA,223,691,45.1198347107438,2026-06-15
Saint Pierre and Miquelon,saint pierre and miquelon,fifa,NA,44.63223140495868,NA,NA,NA,NA,225,677,44.63223140495868,2026-06-15
Tibet,tibet,fifa,NA,43.900826446280995,NA,NA,NA,NA,228,629,43.900826446280995,2026-06-15
Macao,macao,fifa,NA,42.925619834710744,NA,NA,NA,NA,232,589,42.925619834710744,2026-06-15
Christmas Island,christmas island,fifa,NA,42.68181818181818,NA,NA,NA,NA,233,578,42.68181818181818,2026-06-15
Brunei,brunei,fifa,NA,42.43801652892562,NA,NA,NA,NA,234,572,42.43801652892562,2026-06-15
Falkland Islands,falkland islands,fifa,NA,42.19421487603306,NA,NA,NA,NA,235,571,42.19421487603306,2026-06-15
FS Micronesia,fs micronesia,fifa,NA,41.950413223140494,NA,NA,NA,NA,236,564,41.950413223140494,2026-06-15
Marshall Islands,marshall islands,fifa,NA,41.70661157024794,NA,NA,NA,NA,237,559,41.70661157024794,2026-06-15
Kiribati,kiribati,fifa,NA,41.46280991735537,NA,NA,NA,NA,238,544,41.46280991735537,2026-06-15
Niue,niue,fifa,NA,40.97520661157025,NA,NA,NA,NA,240,496,40.97520661157025,2026-06-15
Northern Mariana Islands,northern mariana islands,fifa,NA,40.731404958677686,NA,NA,NA,NA,241,432,40.731404958677686,2026-06-15
Cocos Islands,cocos islands,fifa,NA,40.48760330578512,NA,NA,NA,NA,242,422,40.48760330578512,2026-06-15
Palau,palau,fifa,NA,40.243801652892564,NA,NA,NA,NA,243,402,40.243801652892564,2026-06-15
Eastern Samoa,eastern samoa,fifa,NA,40,NA,NA,NA,NA,244,369,40,2026-06-15
