competition,year,match_id,date,time,stage,group,team_a,team_b,score_a,score_b,score_status,stadium,city,country,source,source_file
FIFA World Cup,2026,WC2026_065,2026-06-27,19:30,Group K,Group K,Colombia,Portugal,NA,NA,scheduled,NA,Miami,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_066,2026-06-27,19:30,Group K,Group K,DR Congo,Uzbekistan,NA,NA,scheduled,NA,Atlanta,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_067,2026-06-17,15:00,Group L,Group L,England,Croatia,NA,NA,scheduled,NA,Dallas,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_068,2026-06-17,19:00,Group L,Group L,Ghana,Panama,NA,NA,scheduled,NA,Toronto,Canada,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_069,2026-06-23,16:00,Group L,Group L,England,Ghana,NA,NA,scheduled,NA,Boston,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_070,2026-06-23,19:00,Group L,Group L,Panama,Croatia,NA,NA,scheduled,NA,Toronto,Canada,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_071,2026-06-27,17:00,Group L,Group L,Panama,England,NA,NA,scheduled,NA,East Rutherford,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_072,2026-06-27,17:00,Group L,Group L,Croatia,Ghana,NA,NA,scheduled,NA,Philadelphia,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026.txt
FIFA World Cup,2026,WC2026_001,2026-06-28,NA,Round of 32,NA,(73) 12:00 UTC-7 2A,2B,NA,NA,scheduled,NA,Los Angeles,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_002,2026-06-29,NA,Round of 32,NA,(74) 16:30 UTC-4 1E,3A/B/C/D/F,NA,NA,scheduled,NA,Boston,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_003,2026-06-29,NA,Round of 32,NA,(75) 19:00 UTC-6 1F,2C,NA,NA,scheduled,NA,Monterrey,Mexico,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_004,2026-06-29,NA,Round of 32,NA,(76) 12:00 UTC-5 1C,2F,NA,NA,scheduled,NA,Houston,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_005,2026-06-30,NA,Round of 32,NA,(77) 17:00 UTC-4 1I,3C/D/F/G/H,NA,NA,scheduled,NA,East Rutherford,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_006,2026-06-30,NA,Round of 32,NA,(78) 12:00 UTC-5 2E,2I,NA,NA,scheduled,NA,Dallas,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_007,2026-06-30,NA,Round of 32,NA,(79) 19:00 UTC-6 1A,3C/E/F/H/I,NA,NA,scheduled,NA,Mexico City,Mexico,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_008,2026-07-01,NA,Round of 32,NA,(80) 12:00 UTC-4 1L,3E/H/I/J/K,NA,NA,scheduled,NA,Atlanta,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_009,2026-07-01,NA,Round of 32,NA,(81) 17:00 UTC-7 1D,3B/E/F/I/J,NA,NA,scheduled,NA,Santa Clara,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_010,2026-07-01,NA,Round of 32,NA,(82) 13:00 UTC-7 1G,3A/E/H/I/J,NA,NA,scheduled,NA,Seattle,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_011,2026-07-02,NA,Round of 32,NA,(83) 19:00 UTC-4 2K,2L,NA,NA,scheduled,NA,Toronto,Canada,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_012,2026-07-02,NA,Round of 32,NA,(84) 12:00 UTC-7 1H,2J,NA,NA,scheduled,NA,Los Angeles,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_013,2026-07-02,NA,Round of 32,NA,(85) 20:00 UTC-7 1B,3E/F/G/I/J,NA,NA,scheduled,NA,Vancouver,Canada,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_014,2026-07-03,NA,Round of 32,NA,(86) 18:00 UTC-4 1J,2H,NA,NA,scheduled,NA,Miami,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_015,2026-07-03,NA,Round of 32,NA,(87) 20:30 UTC-5 1K,3D/E/I/J/L,NA,NA,scheduled,NA,Kansas City,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_016,2026-07-03,NA,Round of 32,NA,(88) 13:00 UTC-5 2D,2G,NA,NA,scheduled,NA,Dallas,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_017,2026-07-04,NA,Round of 16,NA,(89) 17:00 UTC-4 W74,W77,NA,NA,scheduled,NA,Philadelphia,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_018,2026-07-04,NA,Round of 16,NA,(90) 12:00 UTC-5 W73,W75,NA,NA,scheduled,NA,Houston,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_019,2026-07-05,NA,Round of 16,NA,(91) 16:00 UTC-4 W76,W78,NA,NA,scheduled,NA,East Rutherford,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_020,2026-07-05,NA,Round of 16,NA,(92) 18:00 UTC-6 W79,W80,NA,NA,scheduled,NA,Mexico City,Mexico,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_021,2026-07-06,NA,Round of 16,NA,(93) 14:00 UTC-5 W83,W84,NA,NA,scheduled,NA,Dallas,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_022,2026-07-06,NA,Round of 16,NA,(94) 17:00 UTC-7 W81,W82,NA,NA,scheduled,NA,Seattle,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_023,2026-07-07,NA,Round of 16,NA,(95) 12:00 UTC-4 W86,W88,NA,NA,scheduled,NA,Atlanta,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_024,2026-07-07,NA,Round of 16,NA,(96) 13:00 UTC-7 W85,W87,NA,NA,scheduled,NA,Vancouver,Canada,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_025,2026-07-09,NA,Quarter-final,NA,(97) 16:00 UTC-4 W89,W90,NA,NA,scheduled,NA,Boston,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_026,2026-07-10,NA,Quarter-final,NA,(98) 12:00 UTC-7 W93,W94,NA,NA,scheduled,NA,Los Angeles,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_027,2026-07-11,NA,Quarter-final,NA,(99) 17:00 UTC-4 W91,W92,NA,NA,scheduled,NA,Miami,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_028,2026-07-11,NA,Quarter-final,NA,(100) 20:00 UTC-5 W95,W96,NA,NA,scheduled,NA,Kansas City,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_029,2026-07-14,NA,Semi-final,NA,(101) 14:00 UTC-5 W97,W98,NA,NA,scheduled,NA,Dallas,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_030,2026-07-15,NA,Semi-final,NA,(102) 15:00 UTC-4 W99,W100,NA,NA,scheduled,NA,Atlanta,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_031,2026-07-18,NA,Match for third place,NA,(103) 17:00 UTC-4 L101,L102,NA,NA,scheduled,NA,Miami,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
FIFA World Cup,2026,WC2026_032,2026-07-19,NA,Final,NA,(104) 15:00 UTC-4 W101,W102,NA,NA,scheduled,NA,East Rutherford,United States,openfootball/worldcup,data/raw/matches/openfootball_worldcup_2026_finals.txt
